               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.037307,            0.019673,            0.021519,             0.65648,             0.13189,             0.19369,            0.091275,            0.050103,           0.0090203,            0.070069,            0.005578,            0.005578,            0.005578
                  69,            0.037219,            0.020893,            0.023116,             0.33363,             0.16084,             0.16626,            0.071651,            0.056683,           0.0090268,            0.059877,            0.005512,            0.005512,            0.005512
                  70,            0.037413,            0.019353,            0.022137,             0.63579,             0.14231,             0.16511,            0.067394,            0.062377,           0.0092037,            0.065151,            0.005446,            0.005446,            0.005446
                  71,            0.036187,            0.018735,            0.021509,             0.67289,             0.11449,             0.13534,            0.058301,            0.064716,           0.0096437,            0.065995,             0.00538,             0.00538,             0.00538
                  72,            0.036253,             0.01817,            0.021946,             0.33027,              0.2082,             0.17259,            0.072692,            0.063187,            0.009335,             0.07408,            0.005314,            0.005314,            0.005314
                  73,            0.037304,            0.018077,            0.021164,              0.4282,             0.25326,             0.18085,             0.07064,            0.060076,           0.0094491,            0.068627,            0.005248,            0.005248,            0.005248
                  74,            0.036468,            0.019765,            0.020691,               0.582,             0.20474,             0.23271,              0.1028,            0.057477,           0.0093667,            0.064481,            0.005182,            0.005182,            0.005182
                  75,            0.036867,            0.018959,            0.021001,             0.67082,             0.20956,             0.21899,            0.099121,            0.060073,           0.0091448,            0.064847,            0.005116,            0.005116,            0.005116
                  76,            0.036609,            0.018567,            0.020311,             0.48687,             0.17087,             0.16591,            0.082885,            0.060982,           0.0094335,            0.058301,             0.00505,             0.00505,             0.00505
                  77,            0.035405,            0.018408,            0.020256,              0.6183,             0.18404,             0.16504,                0.07,            0.059032,            0.009105,            0.040255,            0.004984,            0.004984,            0.004984
                  78,            0.035804,            0.018885,            0.019313,             0.27939,             0.23323,             0.18047,            0.079472,            0.060968,           0.0090769,            0.055605,            0.004918,            0.004918,            0.004918
                  79,            0.037266,            0.019635,            0.020612,             0.59984,             0.14046,             0.19203,            0.077869,            0.055793,           0.0089128,            0.058093,            0.004852,            0.004852,            0.004852
                  80,            0.036205,            0.019216,            0.018966,              0.4501,              0.2142,             0.21842,            0.093339,             0.05464,           0.0093229,            0.069528,            0.004786,            0.004786,            0.004786
                  81,            0.036081,            0.019192,            0.019324,             0.29365,             0.21868,             0.21966,            0.092993,            0.054227,           0.0090743,            0.071356,             0.00472,             0.00472,             0.00472
                  82,            0.035194,            0.018894,            0.018057,             0.32683,             0.20108,             0.17609,            0.075572,            0.058705,           0.0090489,            0.054375,            0.004654,            0.004654,            0.004654
                  83,            0.035469,            0.018538,            0.017042,             0.38113,              0.2268,             0.20106,            0.079533,             0.06165,           0.0089216,            0.051591,            0.004588,            0.004588,            0.004588
                  84,            0.033986,            0.017176,            0.016778,             0.37203,             0.21636,             0.20172,            0.091989,            0.062126,           0.0089277,            0.063467,            0.004522,            0.004522,            0.004522
                  85,            0.034221,            0.018714,            0.016911,             0.63631,             0.17043,             0.20464,            0.097449,            0.058801,           0.0090123,            0.077685,            0.004456,            0.004456,            0.004456
                  86,            0.034909,            0.019501,            0.017707,             0.44841,             0.25441,             0.19093,            0.084585,            0.057613,           0.0090103,            0.086785,             0.00439,             0.00439,             0.00439
                  87,             0.03391,            0.018467,            0.016467,             0.68943,             0.20066,              0.2102,            0.097419,            0.059405,           0.0092963,            0.077886,            0.004324,            0.004324,            0.004324
                  88,            0.033676,             0.01827,            0.016688,             0.51036,             0.26509,             0.24538,             0.11141,            0.058265,           0.0094184,            0.079575,            0.004258,            0.004258,            0.004258
                  89,            0.033096,            0.018261,            0.016325,             0.59017,             0.21806,             0.26155,             0.12259,            0.056048,           0.0095018,            0.077139,            0.004192,            0.004192,            0.004192
                  90,            0.033141,            0.018616,            0.016555,             0.32117,              0.2542,              0.2521,             0.11152,            0.057824,           0.0095244,            0.078983,            0.004126,            0.004126,            0.004126
                  91,            0.034203,            0.017722,             0.01653,             0.34089,             0.25747,             0.24463,             0.11224,            0.059983,           0.0098467,            0.073246,             0.00406,             0.00406,             0.00406
                  92,            0.033459,            0.017741,            0.015685,              0.7774,             0.14878,             0.20972,            0.092024,            0.059764,            0.010263,            0.050175,            0.003994,            0.003994,            0.003994
                  93,            0.033518,            0.018019,            0.016248,             0.82343,             0.14698,             0.22076,             0.11132,            0.060892,            0.010207,            0.060732,            0.003928,            0.003928,            0.003928
                  94,             0.03294,            0.017094,            0.014845,             0.71985,             0.15032,             0.19735,             0.10074,            0.057741,            0.010373,            0.061618,            0.003862,            0.003862,            0.003862
                  95,            0.033065,            0.018667,            0.014385,             0.73496,             0.14536,             0.18638,            0.096282,            0.064606,           0.0098685,             0.06753,            0.003796,            0.003796,            0.003796
                  96,            0.032578,             0.01736,            0.016071,             0.74417,             0.17533,             0.20016,            0.090402,            0.066318,           0.0099372,             0.06892,             0.00373,             0.00373,             0.00373
                  97,             0.03317,              0.0181,            0.013954,             0.77625,             0.17231,             0.21099,            0.098174,            0.063863,           0.0098548,            0.057117,            0.003664,            0.003664,            0.003664
                  98,            0.033122,            0.018707,            0.015113,             0.71462,             0.17704,               0.239,             0.11896,            0.063112,           0.0096457,            0.049142,            0.003598,            0.003598,            0.003598
                  99,            0.032496,            0.018095,            0.014395,             0.84879,             0.16338,             0.24968,             0.11972,            0.058017,           0.0094744,            0.055459,            0.003532,            0.003532,            0.003532
                 100,            0.032421,            0.018117,            0.014624,             0.90237,             0.14082,             0.25588,             0.14362,            0.059517,           0.0097758,              0.0562,            0.003466,            0.003466,            0.003466
                 101,            0.032341,            0.017071,             0.01373,             0.85488,             0.16424,             0.23763,             0.12146,            0.057887,            0.009933,            0.042678,              0.0034,              0.0034,              0.0034
                 102,            0.032409,            0.018608,            0.014108,             0.74134,             0.17915,             0.19477,             0.10325,            0.057563,            0.010049,            0.041721,            0.003334,            0.003334,            0.003334
                 103,            0.031628,            0.017647,            0.014095,             0.76644,             0.15645,             0.25763,             0.11075,             0.06117,            0.010001,            0.047348,            0.003268,            0.003268,            0.003268
                 104,             0.03173,            0.016597,            0.013341,             0.77024,             0.14893,             0.22606,              0.1169,             0.05734,           0.0097682,            0.053733,            0.003202,            0.003202,            0.003202
                 105,            0.031719,            0.016834,             0.01322,             0.72874,             0.14481,             0.21697,             0.11962,            0.058112,             0.00974,            0.058646,            0.003136,            0.003136,            0.003136
                 106,            0.030408,            0.016771,            0.013164,             0.67206,             0.16247,             0.19729,             0.10468,            0.057649,           0.0096531,            0.068606,             0.00307,             0.00307,             0.00307
                 107,            0.030711,            0.016455,            0.012306,             0.83214,             0.14613,             0.23587,             0.12996,            0.056612,           0.0096993,            0.071294,            0.003004,            0.003004,            0.003004
                 108,            0.031063,            0.018062,             0.01412,             0.52642,             0.19856,             0.24987,             0.12699,            0.059103,           0.0097799,            0.068467,            0.002938,            0.002938,            0.002938
                 109,            0.030661,            0.017014,            0.012722,             0.54601,             0.20853,              0.2485,             0.13561,            0.061344,           0.0096541,            0.065969,            0.002872,            0.002872,            0.002872
                 110,            0.030418,            0.016312,            0.012249,             0.64316,             0.15888,             0.21502,            0.096723,            0.062748,           0.0099402,            0.066072,            0.002806,            0.002806,            0.002806
                 111,            0.030587,            0.016784,             0.01282,             0.57949,             0.18033,             0.21373,             0.11367,            0.061357,            0.010043,            0.067082,             0.00274,             0.00274,             0.00274
                 112,            0.029829,            0.016182,            0.011713,             0.52773,              0.2087,             0.20101,             0.10615,            0.060705,            0.010065,            0.064445,            0.002674,            0.002674,            0.002674
                 113,            0.029777,            0.017358,            0.012318,             0.64164,             0.14972,             0.20899,              0.1107,            0.065501,            0.010122,            0.066217,            0.002608,            0.002608,            0.002608
                 114,            0.029356,            0.016248,            0.012493,             0.67752,             0.10186,             0.20751,             0.11133,            0.064805,            0.009885,             0.06804,            0.002542,            0.002542,            0.002542
                 115,            0.029705,             0.01579,            0.012093,             0.25506,             0.23329,             0.21273,             0.10687,            0.066459,           0.0098846,            0.072984,            0.002476,            0.002476,            0.002476
                 116,            0.029118,             0.01668,            0.011355,             0.66784,             0.16472,             0.19487,            0.098653,            0.065898,           0.0098991,            0.066381,             0.00241,             0.00241,             0.00241
                 117,            0.029422,            0.016238,            0.010745,             0.64501,              0.1708,             0.20975,              0.0987,            0.064879,           0.0099896,            0.069425,            0.002344,            0.002344,            0.002344
                 118,            0.029187,            0.015392,            0.010695,             0.73597,             0.15431,              0.2296,              0.1179,            0.064493,           0.0099374,            0.059537,            0.002278,            0.002278,            0.002278
                 119,            0.029855,            0.018046,            0.011809,             0.44571,              0.2427,             0.22099,             0.10878,            0.063187,           0.0099029,            0.072664,            0.002212,            0.002212,            0.002212
                 120,            0.028285,            0.016419,             0.01073,             0.38241,             0.24977,             0.20673,             0.10654,            0.062904,            0.009962,             0.07458,            0.002146,            0.002146,            0.002146
